,href_to_journal
141,publication/328390711_Correction_to_Blockchain-based_business_process_management_BPM_framework_for_service_composition_in_industry_40?_sg=W-BVDNAdgH5dT2Fdzj_E0jzwbmJLunQmt2Ieo0yB1AcGjMs85ESYe2y5CJcluJX0kK9itMvPRXaMP-c
142,publication/342984338_Corrigendum_to_Antibacterial_and_cytotoxic_activities_of_a_green_synthesized_silver_nanoparticles_using_corn_silk_aqueous_extract_Colloids_Surf_A_598_2020_124827?_sg=WYYbFZsVH7TrE2Sf-nbW8tIFndZbebB8UZ54eOg4h6ijN9olE6YHT8hAat8wschbZpubhnuyo802j78
143,publication/339369149_Flowcharts_for_Easy_Periodontal_Diagnosis_Based_on_the_2018_New_Periodontal_Classification?_sg=tZ-q5D1R9PH8Oltt9KCkJhSygmgTuOuNlWIR4wZAhauWQBNmsmZMeuvUvFfgY0HAqEkNCmbx11_erEk
144,publication/342890656_Progressive_fibrosing_interstitial_lung_disease_treatable_traits_and_therapeutic_strategies?_sg=D-s-YW3sMjpMwIirY2QmEUZk8FEi_U6BxYGeCjMY4KX65T1lhT4QbFVXvzl5MBWkuZjzOfyMBD9s47A
145,publication/343407385_Provision_of_Sexual_Medicine_Services_During_the_Coronavirus_Disease-2019_Pandemic_An_Asia_Pacific_Society_of_Sexual_Medicine_Position_Statement?_sg=BStusyDvLPgrgiBhJ7pSA-lM1tK0m2lT2WDXnob-SYw2AwrJMuSFvJ_HX3phpeTVCXDFVuUPk0e2IH8
146,publication/342366631_Corrigendum_to_A_multi-national_multi-disciplinary_Delphi_consensus_study_on_using_omega-3_polyunsaturated_fatty_acids_n-3_PUFAs_for_the_treatment_of_major_depressive_disorder_J_Affect_Disord_15_2020_?_sg=rP1UcH_RqovbA9b_6Xw66lYKnCzWfGSlw1LNl435ZWTAbCzQxQ900PFkU3V9oF-4M_x77o3EdZNWepg
147,publication/341598993_Correction_to_Dominance_status_and_copulatory_vocalizations_among_male_stump-tailed_macaques_in_Thailand?_sg=C2Cb3iYRogPxSWxZZQK_nrx1ZjIgNDBhoW2_pAgxOeIziTmIIHSvziNJULSjo5jU2T-2FxOcl9nrsJo
148,publication/342553428_Pedicled_Peritoneal_Flap_Vaginoplasty_in_Male-to-Female_Gender_Affirmation_Surgery_A_Case_Report?_sg=vw1R6TKp_YxIbIS53GJ1E3vQJRCAMYbDV5S5BmJZbjuwYJ41MOT5Oml55SGA_tzKzYsmdynUYFUgOUQ
149,publication/353830150_Management_of_advanced_metastatic_and_recurrent_cervical_cancer_Survey_of_practice_among_Thai_gynecologic_oncologists?_sg=5-NPUKkIdjcZ887peAua3_K8ounO8x-QTuSwMgvQyL4JiAZnRTAY_Fppyu28fE13w7iFjSGxeRtt73I
150,
151,publication/343375087_Regional_integration_in_the_EU_and_ASEAN_in_the_period_of_declining_multilateralism_and_corona_shocks?_sg=3YDkyunnpHe-5NQ1eqwrdy1c-ENnnzq87eAGHX7YK_E_-X3s8zrk6Vm0M8auK3jADtQS1GgrnjAvM_E
152,publication/342442363_%27Ring_of_fire%27_appearance_in_COVID-19_pneumonia?_sg=dx9dvoM18IYs8JxDDp5bDq6PW6CfvqMZXmV1JKfznMR7C6-NArvpgtZJxlWTmcG_BMWv4pq6cU2kvdQ
153,publication/342177465_Abrogation_of_PRRSV_infectivity_by_CRISPR-Cas13b-mediated_viral_RNA_cleavage_in_mammalian_cells?_sg=uNJOWnOUZ90889KCS-8DJPVBPc-6laAyaxrhjtP8fSF4vnl-_8CaEbnRXs4A2cq7jBHJAviwUphqTu0
154,publication/341800419_Genistein_and_exercise_modulated_lipid_peroxidation_and_improved_steatohepatitis_in_ovariectomized_rats?_sg=cxVUvcFkota8ka3n-MtRWC7iz9N-4tgC0enBAOkpuJUqX0Uru4kSoWMfYjuV4EJDmEjOXZB0paMx3QM
155,
156,
157,publication/340877209_Delayed_versus_early_initiation_of_renal_replacement_therapy_for_severe_acute_kidney_injury_a_systematic_review_and_individual_patient_data_meta-analysis_of_randomised_clinical_trials?_sg=8JqhKrtZnCcZyoMAKWlF2QC1AHyliI1bHxdslmHIeMg3YFghl1kJRZ5N6YH9wAcke_d0NIXSRg2709A
158,publication/350580663_Study_of_dijet_events_with_a_large_rapidity_gap_between_the_two_leading_jets_in_pp_collisions_at_root_s_7TeV_vol_78_242_2018?_sg=H5S6vzhNLTn6M8GKczwXjSC_XV0XVvMDbhZo9-Qjgn2cKLNyrffferrSZ9wa69priTn_dUk-VyjyJ60
159,
160,
161,publication/340908905_Constraints_on_the_ch_c_1_versus_ch_c_2_Polarizations_in_Proton-Proton_Collisions_at_s_8_TeV?_sg=8oreKlKF0lNXJ02_Qk1FFOp16piVfKFJiMn6qAUE7ooSPDmSmim7rso7WWyt_nDb-XG-Jq1czKfpsZc
162,publication/340624461_The_8th_IUPAC_International_Conference_on_Green_Chemistry_9-14_September_2018_-_Bangkok_Thailand?_sg=VOFMAGcZqaQUl7TkhneHjoaONWxM-ujI0FKku4SMJJODK4JkD5FPDQcrDA2AJGKBK0ZJEsAp3pB-rf0
163,
164,
165,publication/339078679_Correction_to_Two_new_xanthones_from_the_roots_of_Cratoxylum_cochinchinense_and_their_cytotoxicity?_sg=8G3pWHBotT55hJl2FLp9bwgXsjzcrhHCM-e3_j5rmRY4KnBEdcmTdThS6T3S6Nybj4P9YcUDfQbQKvQ
166,
167,publication/339410718_European_Position_Paper_on_Rhinosinusitis_and_Nasal_Polyps_2020?_sg=27GqXu745uAsPwSkQbcN2C-3BN2_w0hrUTam3wx0ANRl0_xPWhxwgLDLKNFXbYi3MHKWBNv2qX5MrfU
168,
169,publication/338487405_Correction_to_Cell_adhesion_molecules_plasminogen_activator_inhibitor_type_1_and_metabolic_syndrome_in_patients_with_psoriasis?_sg=WRmgWhSkY6dd3r6x50gWkn-rup0ne8qcKoH3RsCN5rnOLgvTCQVJXLckCDV6gaWRMxL3VItgVk3Kwm4
170,publication/338383939_Correction_to_Optimizing_Pueraria_candollei_var_mirifica_cell_suspension_culture_for_prolonged_maintenance_and_decreased_variation_of_isoflavonoid_from_single_cell_lines?_sg=rkZFOPky2mz_j4OmxmNBewH8Sqsh84aDRlbtNYQKxX0sEb0ZRNw_glrEoHsYcwM9h5qNXgkcMlGoQ2I
171,publication/338465594_Correction_Abbasi_A_et_al_Poly26-dimethyl-14-phenylene_oxide-Based_Hydroxide_Exchange_Separator_Membranes_for_Zinc-Air_Battery_Int_J_Mol_Sci_2019_20_3678?_sg=FaXA-SZ_FotdTpqzV-5UZ0BpgKlwR81LV14SkatK2I_dLNi81oAvdkbzyw61xXulnFA-l78prIYbH7M
172,publication/346599929_Case_Atlas_and_Illustrations_Colon?_sg=_qMHSvV46bs3myguwVryTHCz4XByWc8SBkh7FCWom1_pDItbjsboKVQDvMsPF66ib-QQveOn_iEfPtw
173,publication/347688778_The_Regulation_of_Unfair_Terms_and_Consumer_Protection_in_Thailand?_sg=ACttAMWEqJC1GAvjDIf0qBIwjmT8vUyS7zChQrThs1iYCDo-Ey-KWdPmLv6kJN5J3hXtg20AxE-nGf4
174,publication/346121288_Thailand-EU_Ties_A_Toxic_Love_Affair?_sg=Fo1ibOHfq7UgcPhsFZFRW6Cma5FL7zRDbz9lzdScErZFq6HUDl_bP_LQo52iyhcTNzrKq2jaGDtG5CI
175,publication/338551633_China%27s_Rise_in_Mainland_ASEAN_Regional_Evidence_and_Local_Responses?_sg=UqdsPOA6-N1xG9vBiFT7RpXd6d4nenbeWY83l9kZ1ICkKWs0zAUIvIdyWJPjhl8RQkW_vYY_qpQ39t4
176,
177,publication/347320743_Identification_of_pathogens_causing_invasive_fungal_rhinosinusitis_in_surgical_biopsies_using_polymerase_chain_reaction-_CORRIGENDUM?_sg=3xAdxUx4m3JL0-tG-DQGBWGdHfLUOK-wkX-9V46wv89yHgGXk5iKEGozf6AOjnaGpmRAsgp7WIP-ucI
178,publication/228354460_Vancomycin-resistente_Enterokokken?_sg=sQQEzfes8Vhw5JsfP5q63gqVsNfVE0_iZFxIUziPCWFE84m24ywqKsqtilCLvEmEVj-iG31jXi3UX4c
179,
180,
181,
182,
183,
184,
185,
186,
187,publication/335249492_A_New_Perspective_on_Dry_Eye_Classification_Proposal_by_the_Asia_Dry_Eye_Society?_sg=mQg5XdkJi9Z-odxS6efUPh4Llj64wY9CtbH0EzlB0QUPxG-kPjJv3UHTd-hRSdBU1y_sXyoCVOADzXw
188,publication/357433956_Ontogeny_and_morphological_diversity_in_immature_mites_Part_V_Table_of_contents?_sg=36wJNFOEc5afH8fXQrv6AdI4jcaWvwhTi-jT-LMIvmyJdpKNamEdC1dCIBJb-NWdVVLLA2-o7JF6ZO8
189,publication/357432757_Ontogeny_and_morphological_diversity_in_immature_mites_Part_V?_sg=sekbxsjfg7lfg_Blcze6BmD_QZHR-xIUCLY8ZjOuVVGNjPAKB5hrsfhqmc5QyPwt5_CVoXJQp2YgSTI
190,
191,publication/356936950_Erratum_for_Sodsai_et_al_Complete_Genome_Sequences_of_Mycobacterium_farcinogenes_Strains_Isolated_from_Clinical_Specimens_from_Patients_in_Thailand?_sg=m6taKX0eejHHu-5HIr6e6a2guv3MYtFyy78sotHUZPkJ0ipAd8EjDrWHk8XzB7MhSxywiCg3TzYDPOc
192,
193,
194,publication/353805941_Correction_to_Computational_Lock_and_Key_and_Dynamic_Trajectory_Analysis_of_Natural_Biophors_Against_COVID-19_Spike_Protein_to_Identify_Effective_Lead_Molecules?_sg=xDdi0VICKkzA1Rsdiioc0svDud-Bpo9R4kO_25AgOVF-eav9bFJDBiWn9aF40yYac3lDCsmtA0l-N0o
195,publication/341343607_Book_chapter_s_contribution_in_Bentham_Science_Book_Nanotechnology_for_Environmental_Remediation?_sg=Gw6sY4xO5tKW7ZYCiNMwH-YrbwpTVta9i1YWrIQD_oKlLRhtMhApOf2tK8OIbkkLLbJIkjjq7iPwZ-A
196,publication/352264633_Publisher_Correction_Pharmacokinetics_and_metabolomics_investigation_of_an_orally_modified_formula_of_standardized_Centella_asiatica_extract_in_healthy_volunteers?_sg=vGuyuqA0o561xQloIhBrIV9UcpvcXVIc50FuA48YdIr8yjm9ICBabB9hMMDSIqRq4dB0aiQEAGo0q74
197,publication/351781399_Author_Correction_Triple_SILAC_identified_progestin-independent_and_dependent_PRA_and_PRB_interacting_partners_in_breast_cancer?_sg=DT0sXNmJDjHc7nDuIREjAkcwbx17mwSddnDCGSNaeFTAjopmZIohhcAPCQRjgv08Y2prHRjW0PyjjWk
198,
199,publication/349710806_Perceptions_of_the_appropriate_response_to_norm_violation_in_57_societies?_sg=Xn9bSuzaPYHCZtkPr8Am_yy1Lz6mU5CgUD3ewik7ZPd2-WaSidKHVdVRJftBYes23mfigK80N7aVwTM
200,publication/349622866_Author_Correction_Evidence_for_SARS-CoV-2_related_coronaviruses_circulating_in_bats_and_pangolins_in_Southeast_Asia?_sg=JGQ4YhqEuW-EYpqZ-GJPDD4UbPnnY_Kiy7mtWE_6ZyOdrQVi1QgvNEhxzrnkIn5-sa1nS8VwVeIki-E
201,publication/355848271_Erratum_Suwattipong_et_al_Comparison_of_Point-of-Care_Testing_and_Hospital-Based_Methods_in_Screening_for_Potential_Type_2_Diabetes_Mellitus_and_Abnormal_Glucose_Regulation_in_a_Dental_Setting_Int_J_E?_sg=fdYTnCt-v0_6Z8k-r1k_-Lz1g3oz6HmfBMUpe7eAeFALEcq0b7mTTMCWnLIVRVfS2cqPASgxLQCbRZY
202,publication/355255740_Correction_to_Preparation_and_characterization_of_bio-based_green_renewable_composites_from_polylactic_acid_reinforced_with_corn_stover?_sg=XKoV4cju4h0gZSAO-tAks1qTyg6a-V2JUYHNwFf6andH4F91_zm0PgIhk9gZNFja_MoyVvZ5KsyLw_U
203,publication/354427427_ConCerv_a_prospective_trial_of_conservative_surgery_for_low-risk_early-stage_cervical_cancer?_sg=OBVhBsyFzA9ZHpJuYsNhBme9EpQBST4M6FzZrVRZPT3syarLAIjOvS6H21pq6UBvf-luVqutOvNOGKc
204,
205,
206,
207,publication/354538101_Huge_cutaneous_abscess_and_severe_symptomatic_hypercalcaemia_secondary_to_Mycobacterium_kansasii_infection_in_an_immunocompetent_patient?_sg=-bXB_Lvnw6tIlTsJPSs3BDXo9ibeZD38gCLV-Hc1RkWeQDyV24e6TxypZxX49-ISubkC-Eh651d9B0g
208,publication/354798935_Panagrellus_redivivus_as_a_model_for_the_study_of_gram-negative_bacteria_pathogenesis_and_antibiotics_efficacy?_sg=moCHRbyAFLfwMQuVnDsZiBOAV_PIEX5uDEzSC79CQ1KE_vE8GX3YjXi8J0RZZlx6MeN81xtJcd7mMPo
209,publication/6327190_Increased_airway_iron_as_a_potential_factor_in_the_persistence_of_Pseudomonas_aeruginosa_infection_in_cystic_fibrosis?_sg=YWzs7vHkth0c-3Sv0bps4TFaMnRYIStVBZG27t8hR_qhINWkWTZu23BjpkMRVv29TjRQVdOwnfpBNuU
210,
211,publication/354804040_Colistin-EDTA_combination_for_eradication_of_colistin-resistant_Klebsiella_pneumoniae_catheter_related_biofilm_infections?_sg=6z2qd90ykDl1tnJDks54rzBmUSo-BJ9xPHlNs_HGb-DkRqN7KaCqe1Npyri8prjIyTRv10yn-fgRTh4
212,publication/352404213_Factors_Associated_with_the_Incidence_and_Mortality_of_Coronavirus_Disease_2019_COVID-19_after_126-million_Cases_A_Meta-analysis?_sg=SKfnHpqkk5L0fnUE3q46xZBe8l7y6IU4708f3hF1Kt3kcFQ7I72CNn0V3D19djEutDdeV25kFspyFZY
213,publication/351510355_Corrigendum_to_Quantitative_analysis_of_nutrient_metabolite_compositions_of_retail_cow%27s_milk_and_milk_alternatives_in_Thailand_using_GC-MS_J_Food_Compos_Anal_97_2021_103785?_sg=5p8UBK9PCxclMXVPRsF6Bxj2dDFPiAWIGwrvQVyy0FxRp0VF86LygOB-4w0LXS8pZH1zz0f6GT5QXDg
214,publication/353004472_Low-cost_alternative_biodiesel_production_apparatus_based_on_household_food_blender_for_continuous_biodiesel_production_for_small_communities?_sg=vduUVKnLMa8hgMXWT7WIngtus76tAocc4v5kwWTVrvLywYUP2ahWWESADsXIyDwKSb5UyRm-SPPjjZg
215,
216,
217,
218,publication/343554239_Correction_to_Sinus_and_anterior_skull_base_surgery_during_the_COVID-19_pandemic_systematic_review_synthesis_and_YO-IFOS_position?_sg=zdfWBj9_HoEdmuClHzsr2PEmwGHJzBRWtB8RxASoXdqpQbBqjwWHOLCT6ABqFvY2mOodtj5uxAI6O-M
219,publication/352738860_Investigation_of_key_chemical_species_from_durian_peduncles_and_their_correlations_with_durian_maturity?_sg=Tks0uUt4GiW1xktcyTJj1KU1VGfBBiMQlN31fnrgJSjXC7SPK-ZvwyPUfWiAiC4hj6HmajhJDMbAixY
220,publication/352123481_Mycobacterium_Chimaera_Choroiditis?_sg=hsfSwrgemTCLNns8NObQSMOTcGwtXaeG7CRxJewPeyXW1s1CHcf6pW1Wh082jn3e8fEEWZgLhgMei_c
221,publication/351370064_Correction_to_Prevalence_of_Enterobacteriaceae_in_Wild_Long-Tailed_Macaques_Macaca_fascicularis_in_Thailand?_sg=BhpNeRojSYErwDUGwqWN3KATJuUm1fZ3dGTranQZrc-1GgvW7BqjsV7jSg7SA9F8TqygqfjBc97_4hg
222,publication/351312822_Author_Correction_Implications_of_TP53_allelic_state_for_genome_stability_clinical_presentation_and_outcomes_in_myelodysplastic_syndromes?_sg=P4MVEC3YPvHFnnq_wpLG3w1Fn7zLtnO46BmGxozG9NgI_KYBar3xHAS4evsJs4SphWYyvBnCUxuE5SQ
223,publication/351319540_Erratum_to_Measurement_of_single-diffractive_dijet_production_in_proton-proton_collisions_at_s8Te_with_the_CMS_and_TOTEM_experiments?_sg=AbCg60rAvmtHmnYaA-CpTW1vEtiLEojyHAIQwKEmNxA6H5KiprurT59PoOSfd6JgK3-egD2Kfjh_1fw
224,publication/351071688_Art_in_Endoscopy_A_metal_daisy?_sg=DyN6CrIbF1kBQF6ISj6P3nR8qLxGVdGjDfjvmQ47OSiCmLnYWAdMKLDm_eM0o8rBgqHbxpSG0K0poOM
225,
226,publication/349395145_Discussion_of_Settlement_Estimation_of_Piled_Rafts_for_Initial_Design_by_Priyanka_Bhartiya_Tanusree_Chakraborty_and_Dipanjan_Basu?_sg=LUEYqvHXKWCUzSrpoT2BQQH-8q37bTAq6LO_I3gLz8bpL_4HHXZbgt-KUbcOARz4qFgncA3LwKdWQ3E
227,publication/351252406_Antidepressants_and_Risk_of_Sudden_Cardiac_Death_A_Network_Meta-Analysis_and_Systematic_Review?_sg=QOR1ihFbr3jNiOx80tOT0-dgSvPRAI2nON_kX7Zxy-bbxvUSSSSUBCm4FWHI3b-cxxS0pRxgjVpprfg
228,
229,
230,publication/350530775_How_Clean_Are_You_Really_A_Simulation_Study_of_Droplet_Splash_Using_an_Acrylic_Box_During_Cardiopulmonary_Resuscitation?_sg=8fd_fWq_Pp2tsIlHtKL2w6g3oQAV3OBAgeZfh_D5ywTTm7lRt176QAt4t23QwAlrIQgi49_wPT3DTo8
231,publication/348668511_Author_Correction_Expert_assessment_of_future_vulnerability_of_the_global_peatland_carbon_sink?_sg=F8rERRbTM-RZkaupeLTMOzNGEs-YToV3KSCDO6vgVDPw5-DjJD9aDNBJ4jQKoM9aGVWIydKEBWd3u5U
232,publication/348435757_Special_Issue_with_selected_papers_from_the_12th_international_symposium_on_applied_plasma_science_ISAPS_2019?_sg=8RqOFy_8M2DRt8jQmDru9vkdza4ruUGPrukMOid16R8rtFmYEdz18zWOvSrSsimT-eHQ0oEbZmeZn5Y
233,
234,publication/350029385_Preventing_the_next_pandemic_the_power_of_a_global_viral_surveillance_network?_sg=maWJ-CDJ613R6krhG017Pz3FrFqIE_gOZ1AybdmfxT7An1tvNuRD9PqFX3LGoSxlbU50Ig2MsaKWXU4
235,publication/349906524_Q-Meter_Quality_Monitoring_System_for_Telecommunication_Services_Based_on_Sentiment_Analysis_Using_Deep_Learning?_sg=N7--11fq0pjKfI3f0IUALRkeKC9n_0nI63mbi9VzVU26cLUWydjmeZnZaREyc8Z8vlAw88ITdeMJ4Lw
236,publication/349340083_Magnesium_Oxide-Catalyzed_Conversion_of_Chitin_to_Lactic_Acid?_sg=6Qj2fVvPSXipBCuRzDTMZOefjVYCxQvxf4bnPUTVUGe70GwhtoewEqll4e-EVavGXHN2SHi16ock0X8
237,
238,publication/349174720_Author_Correction_Implications_of_TP53_allelic_state_for_genome_stability_clinical_presentation_and_outcomes_in_myelodysplastic_syndromes?_sg=FvaaZ1uCayiF70cwQ2Dwc0qYX0bba7mo9Z4CJERwfNuSs1LIJlBTzNKaRYlFrh-N0IZqnh6YI0Ak_Kw
239,
240,
241,
242,publication/349023899_Unusual_type_of_diabetes_fibrocalculous_pancreatic_diabetes?_sg=xmGSa8oFYc4dvnqNpY9sdeEpfYaSTSrJ1m35opTVtqk8K-nPQS45PKuqCaxmn293nViZR0E61pe4MU8
243,publication/347594217_Sex_difference_in_the_mouse_BAT_transcriptome_reveals_a_role_of_progesterone?_sg=MJkbjhTiIApbhOweDC5x8JbI7SHyoBhxkT8OBOtaziUMOxYF_0csW_pkxDTz5yg-ZPk5PKgCUpGK9Ec
244,
245,publication/347437387_A_multi-location_peak_parking_approach_for_calculation_of_second_dimensional_retention_indices_for_improved_volatile_compound_identification_with_cryogen-free_comprehensive_heart-cut_two-_dimensional_?_sg=r9tu4N2GmuipEDAK7RNIQRk3tsFuXzafYUxGmhUr46BbPufT3-DTljb7v_BMR07a2skHa5zmixp-cKE
246,publication/346150930_Testing_Sex-Biased_Admixture_Origin_of_Macaque_Species_Using_Autosomal_and_X-Chromosomal_Genomic_Sequences?_sg=hCDHLFLQr5UcF85-nwGMk8pWe-aqLa2TI4cqsCd0GrgtwwXcTruCyH1P_ITTEbwveXTMSdHISELFRqU
247,publication/348379368_Love_and_Friendship_Across_Cultures_Perspectives_from_East_and_West_Perspectives_from_East_and_West?_sg=Zz73sGZuPEty9PtveCAo9YtFmdaIEx0PJskvPMIWgRZQoMp09BH3RxsQ1YgeUVn_p91t55EFYSwRCYw
248,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=6etfMKMDzNOiuRGJORJNd92m7rZ2ZGHiSJYq0zD7MPpDmrRjLOnibXwv8pWRIiL4ylSi37NwKvyJud8
249,publication/355652076_Disparity_between_knowledge_and_practice_regarding_COVID-19_in_Thailand_A_cross-sectional_study_of_older_adults?_sg=2Diqi-jjKKfuYa4779ARtLxKXCVpCvMZ8g761mHawbSrd_6DxCOQa_yudEzll823mR2GdBvObpd87aA
250,publication/355616269_New_Adaptive_Surrogate-Based_Approach_Combined_Swarm_Optimizer_Assisted_Less_Tuning_Cost_of_Dynamic_Production-Inventory_Control_System?_sg=UlQO8U7J8AchliaI65fcZUXHXvHFycf6mYBbmzfqKS5lVNaTul2bk8BdSEdn0vnZBZQwCymT_U-5TTs
251,publication/363447745_Verbal_complexes_in_Thai?_sg=Z2pn9B71CH-I2v2gWo66MwITRNBHpD2eaPUe2tKXAiuX3G1R13MBdeV-Dtenp3b3VurHC_BqwMtBo-E
252,publication/353464985_THE_SENKAKUDIAOYU_ISLANDS_DISPUTE_A_DISPUTE_FOR_DISPUTE%27S_SAKE?_sg=dKeEC1xRL1BRUSds9_k3IJ7voGBcIZbJhxTlV9ZFjcpo87QGm5xcU3CZrZGxQZ2YnRrZopYtj20iDJo
253,
254,
255,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=qyiovpDPTyoQ57As0AJfl7wj3o07ifwQSpi8AQc4sBgYjLcB4C6Y_1Ql0NiYMRX2c5wk0JG36aR-E3o
256,publication/349999675_Correction_Erianthridin_Induces_Non-small_Cell_Lung_Cancer_Cell_Apoptosis_through_the_Suppression_of_Extracellular_Signal-regulated_Kinase_Activity?_sg=oMrbkPZBkwAqYpF5wHIOxL7pzEbHrxcnRrR88A-CoIrfw44N6DI4a_EOQZbvB2yDsfwzWH9CNAD3cNE
257,
258,publication/263877237_Liu-Wei-Dihuang_A_Study_by_Pulse_Analysis?_sg=u2UbGJSfpVEL311IEmUYTA2MyvxucG5YDTEaa1T83tPKsJ6XzXnmDjsOcMhtEBrqcTc0pABF6N4HN_A
259,
260,
261,
262,
263,publication/364590280_Genetic_diagnosis_for_adult_patients_at_a_genetic_clinic?_sg=ksRw0LRfM5qqCyFN81uKpwRLt3HAh5-XjjmQIK_Hv-tXp9v-YUNWCROhvvEDNBnfCXoOGxmecU4MMik
264,publication/366518846_Author_Correction_A_data_driven_approach_in_less_expensive_robust_transmitting_coverage_and_power_optimization?_sg=sG2j0Jl1IE531TD00K3e4joX6puhx-WDM6JUiFusoBY-Qzf_Vzo-cyKcdBGfwHdADZnMOzQHyoqDQk8
265,publication/366447323_Author_Correction_Sampling_from_four_geographically_divergent_young_female_populations_demonstrates_forensic_geolocation_potential_in_microbiomes?_sg=Ll7zlqo64At_bf24S7v1F1nRLJbBZUV6eri7LjSUAmq7TnqpxG75evcSRQHz0MySe1MQC2L42iM8Ldw
266,publication/364606197_Efficacy_and_mechanism_of_the_antinociceptive_effects_of_cannabidiol_on_acute_orofacial_nociception_induced_by_Complete_Freund%27s_Adjuvant_in_male_Mus_musculus_mice?_sg=UywxgFBD-1rLUW-SjmyUbPTkxO-vZ9-TioLaPcTU3R6tcTCojgld1L2vj8sUTQheeQTpJBfEORful-E
267,publication/363695229_Publisher_Correction_Fundamental_social_motives_measured_across_forty-two_cultures_in_two_waves?_sg=lavjlDGq0tEUbnD_5s3pUBgzokxqr2-L28PvksEDFn4sYtpQB_9-XDJx70LW5AeMNS8wzXiZtnc_p10
268,publication/361784703_Author_Correction_Valorization_of_spent_disposable_wooden_chopstick_as_the_CO2_adsorbent_for_a_CO2H2_mixed_gas_purification?_sg=Gw3G48fbcQgzPLFOmKK03ZZ3StI_jyHZjiITi6aj0cNJ8vNymP-XN2YRmKpyWXLZskaKbQxygZhdaFA
269,publication/360084910_Publisher_Correction_Myzorhynchus_series_of_Anopheles_mosquitoes_as_potential_vectors_of_Plasmodium_bubalis_in_Thailand?_sg=l6Ngxw6AjftiJFiSkg4t1U3gejyYvGC3n9HGkP4piPCZYmDYY4QzZsCCBCLKyOhPBuEBpEhnHwCBOyM
270,publication/364363607_Prevalence_Risk_Factors_and_Prognosis_of_Liver_Involvement_in_Adult_Patients_with_Chikungunya_in_Thailand?_sg=XjQkP77t3Hd9EjZ3IylZD4M_CvmI7d0hFpKouvEtiWjTcaPEPh6R4P_YnYpGPw1pMhyboi27-rAWYzg
271,
272,publication/365222736_Optimizing_Concentration_of_Polyethelene_Glycol_for_Exosome_Isolation_from_Plasma_for_Downstream_Application?_sg=UXG21zhicPd6pSmfCEUqbnjcMyewbpPhFBOBDH_snZpZzF8bSPgDGPk8DZaiTGCdbUscxVJFbCpVNEc
273,
274,
275,publication/364939448_Corrigendum_Microalgae-based_wastewater_treatment_for_developing_economic_and_environmental_sustainability_Current_status_and_future_prospects?_sg=6O_C1S58KY2MsE7jxILevlzWexNxFQgt60nTp1Xj8jC5qfzH5K4KAmxsWTVMOtFGA6D1qIvRsGaS2AA
276,publication/364085630_Special_Issue_on_SATREPS_Area-BCM_Part_2?_sg=hdGTFhPzIZURF3wy64MfYGv60SWAk3FomsrJqH4yg5K_KsK5ycTUo-8InKd4kxMjl7QBGSeAVPrZkeI
277,
278,publication/363547248_Ontogeny_and_morphological_diversity_in_immature_mites_Part_VI_Title_page?_sg=dhtd3WqYUpS43DnQJGjzqRZLqqAMwIoOqR0bolypLMjjPWS70Ehyes9589tODhSwc0he4qtuNUrzmxM
279,publication/363556995_Ontogeny_and_morphological_diversity_in_immature_mites_Part_VI_Table_of_contents?_sg=AHXcdHCYWkbVWMokP9vHCTllkKNChN277NFLJ47tXMI2bbyiWZWsX0CqguU3S-hTBFJOUiRDCssiwq4
280,publication/355196307_A_multi-country_test_of_brief_reappraisal_interventions_on_emotions_during_the_COVID-19_pandemic?_sg=yJBp-d5DT44q96vCk84CwwSyZEZAlegcSfSadgRtrMj0ta4JUOkXQIz7p0wH8mfuIZeoLqYotRPKTt0
281,publication/354772909_Building_Programmatic_Linkages_in_the_Periphery_The_Case_of_the_TRT_Party_in_Thailand?_sg=8fy0YpNFQlfVg7IvKDG38jVSUY_EkmUgjdDDFZYj37sdzXah5frZ9hNS0OESgY2JFknd9vQ2Y2bDPQU
282,publication/362809267_Predicting_the_potential_for_zoonotic_transmission_and_host_associations_for_novel_viruses?_sg=CnL1pNOByqbcIxDWalPbhnyRPPK1TM-PTEm2yG7CyAQSpCOg4c8QXaayR_1qmzV4h3aoJkOMae8v-Gs
283,
284,publication/359906342_Gallstones_migration_from_ruptured_gallbladder_to_necrotic-tumor_cavity_after_metallic_stent_placement_causing_cystic_duct_obstruction?_sg=zsy-Q5-f4t4ZKlfHWKrcaGZ-TIWG483nrdVPVzx60mlkbJ41cRj27xC5gZ14bKawaYc9p1ebnhNjzvI
285,publication/362368979_Identification_of_Daboia_siamensis_venome_using_integrated_multi-omics_data?_sg=bm_zvRotFT97EjYlxtCZSANNkZIRiJFsPtuaOYPvD21RjC9QSd5xbViDM1CbsZnKDDs9X7Zlx0QJa58
286,
287,publication/360863786_%27Corrigendum_to_PCR_combined_with_lateral_flow_immunochromatographic_assay_to_differentiate_the_narcotic_Mitragyna_speciosa_from_related_species_and_detect_it_in_forensic_evidence_Forensic_Sci_Int_331?_sg=pLMqpm10utVeHyERObKeF9TqnWg9gUBQoeNEDubuMIM-aI42UjTd6xIS2EoS0KWTcNJzVt3fyeVY8uc
